id;lineup
2379482;"ADMNTi; Cap; Doudou MD; Enzo Siragusa; Saoirse; Call Super; Christian AB; Dr Banana; Elina; Francesco Del Garda"
2449968;Rossi
2459013;"999999999; ARODES; Ben UFO; Carlita; Rossi; ChaseWest; Chris Lake; Disclosure; Dean Turnley; Genesi (IT)"
2460675;"Final Request; Denis Sulta; AJ Christou; Mason Collective; Traumer; Mia Mendi"
2384218;"Ricardo Villalobos; Raresh; Enzo Siragusa; Traumer; Mar-T; Lola Palmer; Fatima Hajji; Deborah De Luca; Cera Khin; Luca Donzelli"
2358707;"Joseph Capriati; Josh Baker; Traumer; Fleur Shore; Marco Tropeano"
2367768;"Alex Kassian; DJ Tennis; Traumer; Javier Carballo; Lola Palmer; Luca Lozano; Mr. Ho; Roi Perez; PARAMIDA; Sedef Adasï"
2364302;"Traumer; Priku; Andrey Pushkarev; Mihai Popoviciu; Lola Palmer; Andrew Azara; Obscure Shape; Celine Roman"
2384224;"Jean Michel Jarre; Joplyn; Ricardo Villalobos; Enzo Siragusa; Shonky; Traumer; Mar-T; I Hate Models; Nina Kraviz; Marco Faraone"
2365969;"Âme; Amonita; Anitë; Antrim; Altin Boshnjaku; Armen Miran; Bani D; Britta Arnold; Chaim; Chicola"
2447924;"Traumer; Salomé Le Chat; II FACES"
2461505;"The Martinez Brothers; Carlita; Traumer; INDRA TRAFERRI; Tania Vulcano; Hugo Martinez; Janeret; Hugo Esmeraldo; Pisano"
2442495;"Jamie Jones; Traumer; Subb-an; JNJS; Enzo Leep; Call Super; Dekmantel Soundsystem; KT; Baldo"
2374735;"Oliver Koletzki; Joplyn; Rodrigo Gallardo; Traumer"
2379121;"Oliver Koletzki; Traumer; Joplyn; Rodrigo Gallardo; Barac; Nico Stojan"
2379127;"Oliver Koletzki; Traumer; Joplyn; Rodrigo Gallardo; Barac; Nico Stojan"
2379139;"Oliver Koletzki; Traumer; Joplyn; Rodrigo Gallardo; Barac; Nico Stojan"
2412599;Traumer
2391980;"Bradley Zero; Dj Norma; dj sweet6teen; Greta Spark; Immy; Joiah; Power Squad; Traumer; Yamour"
2339675;"Acid Pauli; ANNA; Cinthie; Deer Jade; DJ Nobu; DJ Red; Eduardo de la Calle; Edward; Fadi Mohem; Freddy K"
2310709;"999999999; AAT (NL); Armand Van Helden; Benny Rodrigues; Carmen Lisa (2); Cher Semain; Cincity; Cynthia Spiering; D.Lacrux; Daughter In Law"
2365327;"2HOT2PLAY; Benny Rodrigues; BIIANCO; Cynthia Spiering; DART; Bella Claxton; De Schuurman; Esi (De Re); Ollie Lishman; OLIVIA LENSEN"
2418057;"Benny Rodrigues; Michel de Hey"
2413889;Benny Rodrigues
2463132;"Benny Rodrigues; ESSNCE; Karim Soliman; RAINVILLE; Sanne Dammers"
2370055;"Ben Hemsley; Benny Rodrigues; Cynthia Spiering; DAF; D Stone; davyboi; Diffrent; DJ BORING; DJ Gigola; Faster Horses"
2351388;"AAT (NL); ALISHA; Ammé; Benny Rodrigues; Dennis Quin; Capron; Chinonegro; Cici Daze; Easttown; Franky Rizardo"
